"TOA5","Weather CEN","CR1000","16324","CR1000.Std.15","CPU:WeatherCEN060314.CR1","24221","DayAvg"
"TIMESTAMP","RECORD","AirTC_Avg","AirTC_Max","AirTC_Min","RH1_Avg","RH1_Max","RH1_Min","WindSpd_Avg","WindSpd_Max","WindSpd_Min","WindDir_Avg","RAIN_Tot"
"TS","RN","Deg C","Deg C","Deg C","","","","","","","",""
"","","Avg","Max","Min","Avg","Max","Min","Avg","Max","Min","Avg","Tot"
"2014-05-14 00:00:00",0,25.79,29.99,18.26,56.82,94.6,34.06,0,0,0,"NAN",67
"2014-05-15 00:00:00",1,19.01,24.67,14.55,90.4,98.9,75.25,0,0,0,"NAN",64
"2014-05-16 00:00:00",2,19.14,24.26,13.55,72.9,99.6,43.77,0,0,0,"NAN",0
"2014-05-17 00:00:00",3,21.06,26.95,13.3,69.6,95.4,41.69,0,0,0,"NAN",0
"2014-05-18 00:00:00",4,20.86,26.72,15.18,75.65,98.4,40.56,0,0,0,"NAN",50
"2014-05-19 00:00:00",5,18.7,24.04,12.24,78.88,96.7,59.27,0,0,0,"NAN",0
"2014-06-10 00:00:00",6,22.38,25.6,18.65,67.23,89.3,45.56,0,0,0,"NAN",0
"2014-06-11 00:00:00",7,18.31,20.03,16.79,97.4,100,84.4,0,0,0,"NAN",114
"2014-06-12 00:00:00",8,19.18,22.67,17.38,93.4,100,81,0,0,0,"NAN",8
"2014-06-13 00:00:00",9,20.85,26.98,14.98,84,100,57.48,0,0,0,"NAN",1
"2014-06-14 00:00:00",10,18.06,22.93,12.86,58.6,88.4,33.29,0,0,0,"NAN",0
"2014-06-15 00:00:00",11,18.04,24.18,9.5,61.62,94.6,34.8,0,0,0,"NAN",0
"2014-06-16 00:00:00",12,22.37,28.68,13.44,72,90.4,52.15,0,0,0,"NAN",0
"2014-06-17 00:00:00",13,25.27,29.86,20.4,82,98.2,63.99,0,0,0,"NAN",0
"2014-06-18 00:00:00",14,26.6,31.5,21.61,77.09,94.3,58.87,0,0,0,"NAN",0
"2014-06-19 00:00:00",15,25.74,31.54,20.62,82.4,96.7,59.6,0,0,0,"NAN",0
"2014-06-20 00:00:00",16,26.38,32.15,21.44,79.98,97.2,54.26,0,0,0,"NAN",68
"2014-06-21 00:00:00",17,24.19,29.55,19.6,85.8,99.9,60.46,0,0,0,"NAN",7
"2014-06-22 00:00:00",18,23.26,30.23,18.11,84,98.3,51.44,0,0,0,"NAN",13
"2014-06-23 00:00:00",19,23.41,29.61,16.77,85.4,100,58.12,0,0,0,"NAN",0
"2014-06-24 00:00:00",20,24.4,30.64,19.68,86.5,99.6,62.83,0,0,0,"NAN",132
"2014-06-25 00:00:00",21,22.41,26.61,18.83,92.3,99.9,73.25,0,0,0,"NAN",97
"2014-06-26 00:00:00",22,23.52,28.53,18.17,79.62,97.6,53.12,0,0,0,"NAN",0
"2014-06-27 00:00:00",23,22.91,29.43,18.56,86,100,47.14,0,0,0,"NAN",0
"2014-06-28 00:00:00",24,23.75,29.07,18.73,86.1,99.6,62.12,0,0,0,"NAN",0
"2014-06-29 00:00:00",25,24.34,28.63,20.25,87.8,99.9,69.22,0,0,0,"NAN",0
"2014-06-30 00:00:00",26,24.3,28.28,21.68,88.7,97,73,0,0,0,"NAN",0
"2014-07-01 00:00:00",27,24.71,29.97,18.98,90.5,98.9,77.61,0,0,0,"NAN",140
"2014-07-02 00:00:00",28,23.03,28.42,19.08,83.7,99.3,53.56,0,0,0,"NAN",68
"2014-07-03 00:00:00",29,18.45,21.72,15.56,86.8,98.9,69.65,0,0,0,"NAN",0
