"TOA5","WeatherNE","CR1000","16311","CR1000.Std.15","CPU:WeatherNE060314.CR1","9958","DayAvg"
"TIMESTAMP","RECORD","AirTC_Avg","AirTC_Max","AirTC_Min","RH1_Avg","RH1_Max","RH1_Min","WindSpd_Avg","WindSpd_Max","WindSpd_Min","WindDir_Avg","RAIN_Tot"
"TS","RN","Deg C","Deg C","Deg C","","","","","","","",""
"","","Avg","Max","Min","Avg","Max","Min","Avg","Max","Min","Avg","Tot"
"2014-06-12 00:00:00",0,19.23,22.15,16.77,89.7,97.5,79.2,3.475,8.21,0.08,271.2,0
"2014-06-13 00:00:00",1,20.37,26.68,14.59,83.8,100,56.55,4.106,10.74,1.06,277.5,0
"2014-06-14 00:00:00",2,17.43,22.33,11.49,59.43,89.5,32.83,3.538,8.79,0.17,278.3,0
"2014-06-15 00:00:00",3,17.47,24.11,8.91,62.14,95.3,35.84,3.206,8.06,0.05,152.3,0
"2014-06-16 00:00:00",4,21.77,28.21,12.32,72.45,90.6,52.25,5.338,14.28,1.5,181.1,0
"2014-06-17 00:00:00",5,24.84,29.5,19.78,81.4,98.3,63.74,2.903,8.61,0.04,194.4,0
"2014-06-18 00:00:00",6,26.13,31.15,20.88,76.8,94.2,59.08,5.056,13.61,1.01,209.5,0
"2014-06-19 00:00:00",7,25.21,31.37,20.34,82.5,95.9,62.01,3.053,7.88,0.31,206.6,0
"2014-06-20 00:00:00",8,25.83,31.88,20.92,80.3,96.9,54.58,2.581,13.75,0.01,211.5,0
"2014-06-21 00:00:00",9,23.77,29.38,19.42,85.1,99.2,59.41,2.509,8.91,0.01,269.3,0
"2014-06-22 00:00:00",10,22.95,30.17,17.49,83.1,97.9,52.93,1.965,15.87,0.01,192.3,0
"2014-06-23 00:00:00",11,22.93,29.56,16.58,85.5,100,58.09,1.728,11.82,0.03,204.7,0
"2014-06-24 00:00:00",12,23.93,30.5,19.24,86.3,99.3,62.72,2.885,9.25,0.03,191.5,0
"2014-06-25 00:00:00",13,21.93,26.24,18.23,92.1,99.7,73.69,1.625,7.92,0.03,190,0
"2014-06-26 00:00:00",14,23.19,28.42,17.79,78.4,97,51.27,2.635,6.74,0.03,256.4,0
"2014-06-27 00:00:00",15,22.49,29.31,18.2,86.1,100,47.28,2.44,1000,0.05,99.6,0
"2014-06-28 00:00:00",16,23.32,29.19,17.77,85.5,99.9,61.79,2.46,7.66,0.4,162.1,0
"2014-06-29 00:00:00",17,23.91,28.52,19.98,87.4,98.4,69.08,3.435,9.73,0.27,180.7,0
"2014-06-30 00:00:00",18,23.8,28.12,21.08,88.4,96.9,72.83,3.827,8.45,0.99,199.6,0
"2014-07-01 00:00:00",19,24.24,29.62,18.47,90.2,98.8,78,4.11,21.22,0.07,193.1,0
"2014-07-02 00:00:00",20,22.53,28.22,18.51,83.4,99,54.01,3.194,9.19,0.09,235.6,0
"2014-07-03 00:00:00",21,18,21.06,15.08,85.7,98.6,68.78,3.268,9.39,0.79,285.4,0
"2014-07-04 00:00:00",22,17.89,22.99,14.29,78.72,98.3,50.81,2.719,6.51,0.13,230.2,0
"2014-07-05 00:00:00",23,18.59,25.5,10.97,73.14,98.2,42.52,1.152,5.01,0.01,173.3,0
"2014-07-06 00:00:00",24,19.88,25.18,13.08,76.14,98,48.15,2.01,7,0,185.3,0
"2014-07-07 00:00:00",25,22.95,28.34,16.52,84.9,96.5,72.57,3.487,9.36,0.11,209.2,0
"2014-07-08 00:00:00",26,24.55,29.99,21.04,88.5,99.2,62.58,3.503,8.84,0.53,238.4,0
"2014-07-09 00:00:00",27,21.89,26.82,16.36,82.8,99.1,54.15,4.265,10.95,0.19,265.4,0
