"TOA5","WeatherSE","CR1000","16316","CR1000.Std.15","CPU:WeatherSE051510.CR1","4859","DayAvg"
"TIMESTAMP","RECORD","AirTC_Avg","AirTC_Max","AirTC_Min","RH1_Avg","RH1_Max","RH1_Min","WindSpd_Avg","WindSpd_Max","WindSpd_Min","WindDir_Avg","RAIN_Tot"
"TS","RN","Deg C","Deg C","Deg C","","","","","","","",""
"","","Avg","Max","Min","Avg","Max","Min","Avg","Max","Min","Avg","Tot"
"2010-07-09 00:00:00",0,26.41,30.27,22.28,82.4,97.1,66.06,1.699,6.04,0.02,234.2,7
"2010-07-10 00:00:00",1,24.78,29.69,18.53,79.07,97.4,48.44,2.058,8.26,0.03,207.4,0
"2010-07-11 00:00:00",2,23.73,29.66,17.21,72.26,95.2,40.37,0.96,3.75,0.01,196.5,0
"2010-07-12 00:00:00",3,22.83,27.7,17.09,82.5,94.7,63.64,1.882,8.18,0.06,188.1,0
"2010-07-13 00:00:00",4,24.24,29.48,19.27,82,97.6,57.18,1.195,4.27,0,177.6,0
"2010-07-14 00:00:00",5,23.66,28.6,20.77,88.2,96.5,68.72,1.298,6.24,0.01,134.3,11
"2010-07-15 00:00:00",6,26.18,31.72,19.26,84.3,98,64.13,2.155,6.76,0.11,156.7,0
"2010-07-16 00:00:00",7,25.31,32.45,20.89,89.7,97.4,70.99,2.434,12.21,0.03,206.5,21
"2010-07-17 00:00:00",8,24.24,29.44,18.36,75.05,97.4,47.85,1.172,4.16,0,171.1,0
"2010-07-18 00:00:00",9,25.5,31.73,18.63,85.6,96.6,67.1,1.921,6.67,0.02,202.1,4
"2010-07-19 00:00:00",10,24.2,27.88,20.8,89.8,97.1,74.64,2.209,7.17,0.33,215.4,0
"2010-07-20 00:00:00",11,22.67,29.2,18.26,89,98.1,60.72,1.937,14.31,0.04,227.8,103
"2010-07-21 00:00:00",12,22.52,27.3,19.76,92.1,97.1,78.19,1.955,9.87,0.03,184.6,18
"2010-07-22 00:00:00",13,24.46,30.52,20.94,91.3,97.4,69.47,1.198,4.68,0.01,225.1,14
"2010-07-23 00:00:00",14,26.37,31.56,20.92,89,97.8,71.51,2.45,8.85,0.11,196.9,0
"2010-07-24 00:00:00",15,28.12,32.35,24.01,84.6,94.9,70.15,3.275,8.67,0.08,212.5,0
"2010-07-25 00:00:00",16,26.44,32.14,22.01,86.6,96.5,64.76,3.128,13.34,0.05,217.1,33
"2010-07-26 00:00:00",17,24.07,29.07,17.57,83.4,97.2,59.68,2.352,9.93,0.47,127.3,7
"2010-07-27 00:00:00",18,23.34,29.59,17.59,84.4,95.5,59.08,1.543,4.36,0.03,86.4,0
"2010-07-28 00:00:00",19,25.33,30.77,19.74,84.8,96.4,63.03,1.514,5.7,0.02,139.1,0
"2010-07-29 00:00:00",20,26.67,32.64,21.73,86.2,98,65.01,2.3,9.33,0.11,246.6,0
"2010-07-30 00:00:00",21,24.91,29.58,19.8,82,97.4,52.45,1.502,5.2,0.04,105.2,0
"2010-07-31 00:00:00",22,22.68,27.28,17.96,82,96.7,60.5,2.002,5.83,0.37,120.7,0
"2010-08-01 00:00:00",23,23.06,29.46,19,87.1,97,70.64,2.321,7.59,0.04,137.1,0
"2010-08-02 00:00:00",24,22.16,27.94,17.07,85.1,98.2,58.88,1.579,5.17,0.1,74.99,0
"2010-08-03 00:00:00",25,23.35,28.7,16.89,84.9,98.1,61.22,1.07,4.17,0.02,163.3,0
"2010-08-04 00:00:00",26,27.47,33.73,20.2,85.8,96.9,68.48,2.021,7.02,0.03,189.6,0
"2010-08-05 00:00:00",27,27.52,34.59,23.23,85.9,97.6,56.95,2.034,11.25,0.02,191,17
